Year,Winner,Author,Title,Publisher,Chair,Judges
1969,1,P. H. Newby,Something to Answer For,Faber & Faber,,"David Farrer, Frank Kermode, Stephen Spender, Dame Rebecca West, W. L. Webb"
1969,0,Barry England,Figures in a Landscape,n/a,,
1969,0,Nicholas Mosley,The Impossible Object,n/a,,
1969,0,Iris Murdoch,The Nice and the Good,n/a,,
1969,0,Muriel Spark,The Public Image,n/a,,
1969,0,Gordon Williams,From Scenes Like These,n/a,,
1970,1,Bernice Rubens,The Elected Member,Eyre & Spottiswoode,,"Antonia Fraser, Ross Higgins, Richard Hoggart, Dame Rebecca West, David Holloway"
1970,0,A. L. Barker,John Brown's Body,n/a,,
1970,0,Elizabeth Bowen,Eva Trout,n/a,,
1970,0,Iris Murdoch,Bruno's Dream,n/a,,
1970,0,William Trevor,Mrs Eckdorf in O'Neill's Hotel,n/a,,
1970,0,Terence Wheeler,The Conjunction,n/a,,
1970 Lost,1,J. G. Farrell,Troubles,Phoenix,,"Rachel Cooke, Katie Derham, Tobias Hill"
1970 Lost,0,Nina Bawden,The Birds on the Trees,Virago,,
1970 Lost,0,Shirley Hazzard,The Bay of Noon,Virago,,
1970 Lost,0,Mary Renault,Fire From Heaven,Arrow,,
1970 Lost,0,Muriel Spark,The Driver's Seat,Penguin,,
1970 Lost,0,Patrick White,The Vivisector,Vintage,,
1971,1,V. S. Naipaul,In a Free State,Deutsch,John Gross,"Saul Bellow, John Fowles, Lady Antonia Fraser, Philip Toynbee"
1971,0,Thomas Kilroy,The Big Chapel,Faber & Faber,,
1971,0,Doris Lessing,Briefing for a Descent into Hell,Jonathan Cape,,
1971,0,Mordecai Richler,St. Urbain's Horseman,Weidenfeld & Nicolson,,
1971,0,Derek Robinson,Goshawk Squadron,Heinemann,,
1971,0,Elizabeth Taylor,Mrs. Palfrey at the Claremont,Chatto & Windus,,
1972,1,John Berger,G.,Weidenfeld & Nicolson,Cyril Connolly,"George Steiner, Elizabeth Bowen"
1972,0,Susan Hill,The Bird of Night,Hamish Hamilton,,
1972,0,Thomas Keneally,The Chant of Jimmie Blacksmith,Angus & Robertson,,
1972,0,David Storey,Pasmore,Longman,,
1973,1,J. G. Farrell,The Siege of Krishnapur,Weidenfeld & Nicolson,Karl Miller,"Edna O'Brien, Mary McCarthy"
1973,0,Beryl Bainbridge,The Dressmaker,Duckworth,,
1973,0,Elizabeth Mavor,The Green Equinox,Michael Joseph,,
1973,0,Iris Murdoch,The Black Prince,Chatto & Windus,,
1974,1,Nadine Gordimer,The Conservationist,Jonathan Cape,Ion Trewin,"A. S. Byatt, Elizabeth Jane Howard"
1974,1,Stanley Middleton,Holiday,Hutchinson,,
1974,0,Kingsley Amis,Ending Up,Jonathan Cape,,
1974,0,Beryl Bainbridge,The Bottle Factory Outing,Duckworth,,
1974,0,C. P. Snow,In Their Wisdom,Macmillan,,
1975,1,Ruth Prawer Jhabvala,Heat and Dust,John Murray,Angus Wilson,"Peter Ackroyd, Susan Hill, Roy Fuller"
1975,0,Thomas Keneally,Gossip from the Forest,Collins,,
1976,1,David Storey,Saville,Jonathan Cape,Walter Allen,"Mary Wilson, Francis King"
1976,0,André Brink,An Instant in the Wind,W. H. Allen,,
1976,0,R. C. Hutchinson,Rising,Michael Joseph,,
1976,0,Brian Moore,The Doctor's Wife,Jonathan Cape,,
1976,0,Julian Rathbone,King Fisher Lives,Michael Joseph,,
1976,0,William Trevor,The Children of Dynmouth,Bodley Head,,
1977,1,Paul Scott,Staying On,Heinemann,Philip Larkin,"Beryl Bainbridge, Brendan Gill, David Hughes, Robin Ray"
1977,0,Paul Bailey,Peter Smart's Confessions,Jonathan Cape,,
1977,0,Caroline Blackwood,Great Granny Webster,Duckworth,,
1977,0,Jennifer Johnston,Shadows on our Skin,Hamish Hamilton,,
1977,0,Penelope Lively,The Road to Lichfield,Heinemann,,
1977,0,Barbara Pym,Quartet in Autumn,Macmillan,,
1978,1,Iris Murdoch,"The Sea, the Sea",Chatto & Windus,Sir Alfred Ayer,"Derwent May, P. H. Newby, Angela Huth, Clare Boylan"
1978,0,Kingsley Amis,Jake's Thing,Hutchinson,,
1978,0,André Brink,Rumours of Rain,W. H. Allen,,
1978,0,Penelope Fitzgerald,The Bookshop,Duckworth,,
1978,0,Jane Gardam,God on the Rocks,Hamish Hamilton,,
1978,0,Bernice Rubens,A Five-Year Sentence,W. H. Allen,,
1979,1,Penelope Fitzgerald,Offshore,Collins,Lord Briggs,"Benny Green, Michael Ratcliffe, Hilary Spurling, Paul Theroux"
1979,0,Thomas Keneally,Confederates,Collins,,
1979,0,V. S. Naipaul,A Bend in the River,Deutsch,,
1979,0,Julian Rathbone,Joseph,Michael Joseph,,
1979,0,Fay Weldon,Praxis,Hodder & Stoughton,,
1980,1,William Golding,Rites of Passage,Faber & Faber,David Daiches,"Ronald Blythe, Margaret Forster, Claire Tomalin, Brian Wenham"
1980,0,Anthony Burgess,Earthly Powers,Hutchinson,,
1980,0,Anita Desai,Clear Light of Day,Heinemann,,
1980,0,Alice Munro,The Beggar Maid,Viking,,
1980,0,Julia O'Faolain,No Country for Young Men,Viking,,
1980,0,Barry Unsworth,Pascali's Island,Michael Joseph,,
1980,0,J. L. Carr,A Month in the Country,Harvester,,
1981,1,Salman Rushdie,Midnight's Children,Jonathan Cape,Professor Malcolm Bradbury,"Brian Aldiss, Joan Bakewell, Samuel Hynes, Hermione Lee"
1981,0,Molly Keane,Good Behaviour,Deutsch,,
1981,0,Doris Lessing,The Sirian Experiments,Jonathan Cape,,
1981,0,Ian McEwan,The Comfort of Strangers,Jonathan Cape,,
1981,0,Ann Schlee,Rhine Journey,Macmillan,,
1981,0,Muriel Spark,Loitering with Intent,Bodley Head,,
1981,0,D. M. Thomas,The White Hotel,Gollancz,,
1982,1,Thomas Keneally,Schindler's Ark,Hodder & Stoughton,John Carey,"Paul Bailey, Frank Delaney, Janet Morgan, Lorna Sage"
1982,0,John Arden,Silence Among the Weapons,Methuen,,
1982,0,William Boyd,An Ice-Cream War,Hamish Hamilton,,
1982,0,Lawrence Durrell,Constance or Solitary Practices,Faber & Faber,,
1982,0,Alice Thomas Ellis,The 27th Kingdom,Duckworth,,
1982,0,Timothy Mo,Sour Sweet,Deutsch,,
1983,1,J. M. Coetzee,Life & Times of Michael K,Secker & Warburg,Fay Weldon,"Angela Carter, Terence Kilmartin, Peter Porter, Libby Purves"
1983,0,Malcolm Bradbury,Rates of Exchange,Secker & Warburg,,
1983,0,John Fuller,Flying to Nowhere,Salamander,,
1983,0,Anita Mason,The Illusionist,Hamish Hamilton,,
1983,0,Salman Rushdie,Shame,Jonathan Cape,,
1983,0,Graham Swift,Waterland,Heinemann,,
1984,1,Anita Brookner,Hotel du Lac,Jonathan Cape,Professor Richard Cobb,"Anthony Curtis, Polly Devlin, John Fuller, Ted Rowlands"
1984,0,J. G. Ballard,Empire of the Sun,Gollancz,,
1984,0,Julian Barnes,Flaubert's Parrot,Jonathan Cape,,
1984,0,Anita Desai,In Custody,Heinemann,,
1984,0,Penelope Lively,According to Mark,Heinemann,,
1984,0,David Lodge,Small World,Secker & Warburg,,
1985,1,Keri Hulme,The Bone People,Hodder & Stoughton,Norman St John-Stevas,"Nina Bawden, J. W. Lambert, Joanna Lumley, Marina Warner"
1985,0,Peter Carey,Illywhacker,Faber & Faber,,
1985,0,J. L. Carr,The Battle of Pollocks Crossing,Viking,,
1985,0,Doris Lessing,The Good Terrorist,Jonathan Cape,,
1985,0,Jan Morris,Last Letters from Hav,Viking,,
1985,0,Iris Murdoch,The Good Apprentice,Chatto & Windus,,
1986,1,Kingsley Amis,The Old Devils,Hutchinson,Anthony Thwaite,"Edna Healey, Isabel Quigley, Gillian Reynolds, Bernice Rubens"
1986,0,Margaret Atwood,The Handmaid's Tale,Jonathan Cape,,
1986,0,Paul Bailey,Gabriel's Lament,Jonathan Cape,,
1986,0,Robertson Davies,What's Bred in the Bone,Viking,,
1986,0,Kazuo Ishiguro,An Artist of the Floating World,Faber & Faber,,
1986,0,Timothy Mo,An Insular Possession,Chatto & Windus,,
